StName,Az(deg),EpDis(deg),NumMatPha,Loc(km),SubDivDep(km), Rms(s),MinRms(s)
HODGE,341.5432434082031,0.44,"[6.0, 6.0, 8.0, 7.0, 6.0, 8.0, 7.0, 8.0, 8.0, 8.0, 8.0, 6.0, 5.0, 4.0, 4.0, 5.0, 6.0, 9.0, 9.0, 7.0, 6.0, 6.0, 10.0, 10.0, 9.0, 6.0, 4.0, 0.0, 0.0, 0.0]",4.60,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.31589398729561285, 0.30024074833871245, 0.2854141215491331, 0.27149469694402434, 0.2586145041264477, 0.24689808336967448, 0.2364166494694366, 0.22723404731318939, 0.21937744697801928, 0.21281802139327943, 0.2075003857337401, 0.20333599085376688, 0.20020930099348977, 0.19800027452776306, 0.19659212140351764, 0.19589588790834178, 0.19580548634752704, 0.1962446936108114, 0.19713851667741653, 0.2003576481480415]",0.20
W54A,356.5180969238281,1.27,"[0.0, 0.0, 6.0, 7.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.70,"[2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5000000000000004, 2.6000000000000005, 2.7000000000000006, 2.8000000000000007, 2.900000000000001, 3.000000000000001, 3.100000000000001, 3.200000000000001, 3.300000000000001, 3.4000000000000012, 3.5000000000000013, 3.6000000000000014, 3.7000000000000015, 3.8000000000000016, 3.9000000000000017]","[0.23596258470493817, 0.2282408168223177, 0.22087979428195656, 0.21390580101976164, 0.2073352165329727, 0.20117166428768066, 0.17012718445368671, 0.17181799238364506, 0.17117798907507434, 0.16996021087269084, 0.1689255731186352, 0.16802960338917558, 0.16724004313275484, 0.1636046964174697, 0.1598802522805984, 0.15627852788526897, 0.15278148421738713, 0.1493734376800592, 0.1517653760588031, 0.16662408646477017]",0.15
X53A,304.6518249511719,1.21,"[4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.20,"[2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5000000000000004, 2.6000000000000005, 2.7000000000000006, 2.8000000000000007, 2.900000000000001, 3.000000000000001, 3.100000000000001, 3.200000000000001, 3.300000000000001, 3.4000000000000012, 3.5000000000000013, 3.6000000000000014, 3.7000000000000015, 3.8000000000000016, 3.9000000000000017]","[0.5338079415059928, 0.5313099099150035, 0.5288184184951823, 0.526334297547483, 0.5238584932926195, 0.481789322987282, 0.48176257298142594, 0.4817395351003541, 0.4817203655560751, 0.4817052290561164, 0.48169429671898695, 0.48168772838885016, 0.481685962801802, 0.4816922325006712, 0.48170203773214654, 0.48171795439435966, 0.4817405645070767, 0.48177058372679576, 0.4818551201360138, 0.48190408881260166]",0.48
Y53A,272.1822204589844,1.24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0]",3.00,"[2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5000000000000004, 2.6000000000000005, 2.7000000000000006, 2.8000000000000007, 2.900000000000001, 3.000000000000001, 3.100000000000001, 3.200000000000001, 3.300000000000001, 3.4000000000000012, 3.5000000000000013, 3.6000000000000014, 3.7000000000000015, 3.8000000000000016, 3.9000000000000017]","[0.7851044406008612, 0.7747237014842293, 0.7643439548383609, 0.753965205033945, 0.7435874564844589, 0.708263054031292, 0.6998862208247161, 0.6915132593348426, 0.6831441700806735, 0.674778937115582, 0.66691647242495, 0.6752750536465667, 0.6836298663773684, 0.6919783440587075, 0.7003246863443877, 0.7086671640443676, 0.7170058186007147, 0.7253406930787504, 0.7350053074027917, 0.7453684665420764]",0.67
GOGA,250.9465789794922,1.22,"[0.0, 0.0, 0.0, 5.0, 5.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.90,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.40436066336716775, 0.392528299648842, 0.38089579695463976, 0.36948628902675407, 0.35830009678549385, 0.3473621400252231, 0.3366933278786335, 0.3263179638183486, 0.31617946265187535, 0.30288683872824906, 0.2899852392659284, 0.2775211516296368, 0.2655460263108714, 0.2536779880510183, 0.24226261684288805, 0.23212485812945038, 0.2234227163035094, 0.21629010019976094, 0.21080841664412764, 0.206983354464515]",0.21
HH05,143.4630126953125,0.45,"[0.0, 0.0, 9.0, 9.0, 9.0, 7.0, 6.0, 6.0, 6.0, 7.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.20,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.3285119384003113, 0.30923406892723154, 0.29042808073570486, 0.2721804325846557, 0.25454191861629377, 0.23767113300945933, 0.22168730986530352, 0.20673131051347413, 0.19297467229069495, 0.18058983710545615, 0.16971205244449697, 0.16043604429058475, 0.1527805269539853, 0.15590878138768327, 0.16816354824015448, 0.18165749728543604, 0.19622112119633917, 0.21171432690943892, 0.22799855319865903, 0.2449656595595037]",0.15
D06,275.4906311035156,0.45,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 8.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0]",3.90,"[2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5000000000000004, 2.6000000000000005, 2.7000000000000006, 2.8000000000000007, 2.900000000000001, 3.000000000000001, 3.100000000000001, 3.200000000000001, 3.300000000000001, 3.4000000000000012, 3.5000000000000013, 3.6000000000000014, 3.7000000000000015, 3.8000000000000016, 3.9000000000000017]","[0.5962742161701383, 0.5874457244953883, 0.5786692503496755, 0.5699509836408616, 0.5612973053757336, 0.5527146772498595, 0.5442111635712804, 0.5357942154338734, 0.5274786533261903, 0.5192729991135768, 0.5111923832384838, 0.5032509659164882, 0.4954650604627348, 0.4878554814645861, 0.4804335754489258, 0.47323443411604665, 0.46627689044835985, 0.4595846639179791, 0.4531851107914533, 0.4471062084338766]",0.45
D09,290.5807800292969,0.65,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 4.0, 4.0, 7.0, 8.0]",3.30,"[2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5000000000000004, 2.6000000000000005, 2.7000000000000006, 2.8000000000000007, 2.900000000000001, 3.000000000000001, 3.100000000000001, 3.200000000000001, 3.300000000000001, 3.4000000000000012, 3.5000000000000013, 3.6000000000000014, 3.7000000000000015, 3.8000000000000016, 3.9000000000000017]","[0.5036617663731094, 0.4898367180616429, 0.4763533134829703, 0.46332648299444995, 0.45092134915, 0.4393533731890613, 0.42887888774440946, 0.4197452740833815, 0.4121062546867633, 0.40594788479980104, 0.4010957167777614, 0.3972954013181988, 0.39429481763510427, 0.3918853743378318, 0.39654665371909176, 0.4103086249174454, 0.4242989162588546, 0.4384613079424395, 0.45276045375136853, 0.46715760306746734]",0.39
D12,298.9706726074219,0.89,"[0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0, 4.0, 0.0, 0.0, 3.0, 4.0, 4.0, 4.0, 6.0, 6.0, 5.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0]",3.90,"[2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5000000000000004, 2.6000000000000005, 2.7000000000000006, 2.8000000000000007, 2.900000000000001, 3.000000000000001, 3.100000000000001, 3.200000000000001, 3.300000000000001, 3.4000000000000012, 3.5000000000000013, 3.6000000000000014, 3.7000000000000015, 3.8000000000000016, 3.9000000000000017]","[0.5827559806462432, 0.5717772807932701, 0.5612395023111987, 0.5511778725652031, 0.5416271954854371, 0.5326162477141788, 0.5241659784896504, 0.5162881103360875, 0.5089839129861006, 0.50224503654403, 0.49605286433182266, 0.4903794505080239, 0.48519326860410167, 0.4804593487974278, 0.4761267469260826, 0.47216418501447016, 0.4685342230520729, 0.4652016857517154, 0.4621341848853772, 0.4593031415214199]",0.46
D13,298.39520263671875,1.01,"[0.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 3.0, 4.0, 4.0, 0.0, 0.0]",3.20,"[2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5000000000000004, 2.6000000000000005, 2.7000000000000006, 2.8000000000000007, 2.900000000000001, 3.000000000000001, 3.100000000000001, 3.200000000000001, 3.300000000000001, 3.4000000000000012, 3.5000000000000013, 3.6000000000000014, 3.7000000000000015, 3.8000000000000016, 3.9000000000000017]","[0.3386207989344499, 0.32838120952641575, 0.3182147088989743, 0.3081320480022931, 0.2981463854216167, 0.2882736192015302, 0.2785331431916368, 0.26894871193214165, 0.25954944676066, 0.25037094547793315, 0.24145753341838602, 0.2374919223757861, 0.23710974142205407, 0.2371894119611303, 0.2377769798760058, 0.5501500132253673, 0.5499123329358202, 0.6037502599616384, 0.6054124885952623, 0.6077106587365274]",0.24
D14,302.0005798339844,1.06,"[0.0, 5.0, 5.0, 5.0, 5.0, 7.0, 4.0, 0.0, 6.0, 6.0, 0.0, 0.0, 5.0, 3.0, 4.0, 5.0, 5.0, 7.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 5.0, 5.0, 0.0, 0.0, 0.0]",4.90,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.3711535695651525, 0.36281619556565886, 0.3550556692002342, 0.3478372362407755, 0.3411417215831354, 0.33491340915207807, 0.3291034353530347, 0.3236644504091129, 0.3185531511966141, 0.31373152862799014, 0.309167637471882, 0.30483402946441274, 0.30070853724427576, 0.29677088837855614, 0.29300392363199074, 0.28939640442175196, 0.285941855503385, 0.28263203553526567, 0.2794610494010195, 0.2764308500778141]",0.28
D15,302.976318359375,1.17,"[0.0, 0.0, 0.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.70,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.24357991354050923, 0.24066330902368097, 0.23774554048734908, 0.23481523826315653, 0.23189653016723322, 0.22898110532574614, 0.2260714301725981, 0.22317026279434057, 0.22028124535818214, 0.21740935269039618, 0.21456138840006087, 0.21174691652094926, 0.2089798118011791, 0.20628094117060913, 0.20369040076935427, 0.20126108886078312, 0.1990748163516264, 0.19729077079069357, 0.1982093258240882, 0.20198820132749676]",0.20
E29,180.41018676757812,1.32,"[5.0, 7.0, 0.0, 0.0, 0.0, 7.0, 6.0, 7.0, 7.0, 6.0, 6.0, 5.0, 7.0, 9.0, 10.0, 10.0, 6.0, 6.0, 0.0, 0.0, 6.0, 5.0, 5.0, 5.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.60,"[2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5000000000000004, 2.6000000000000005, 2.7000000000000006, 2.8000000000000007, 2.900000000000001, 3.000000000000001, 3.100000000000001, 3.200000000000001, 3.300000000000001, 3.4000000000000012, 3.5000000000000013, 3.6000000000000014, 3.7000000000000015, 3.8000000000000016, 3.9000000000000017]","[0.5986310946920584, 0.5841429469035057, 0.5698393053793273, 0.555798193172635, 0.5420305604677095, 0.5285760414327351, 0.5154786249376622, 0.5027860577131613, 0.4905487431520399, 0.47881822511417477, 0.467645728660154, 0.4570820411317434, 0.4471819003597248, 0.4380215629253088, 0.4297592683329457, 0.42286955737028215, 0.41914078792855963, 0.4225938430933252, 0.43214137184235457, 0.44397337574320067]",0.42
E30,180.7388458251953,1.12,"[0.0, 0.0, 6.0, 7.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0]",3.50,"[2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5000000000000004, 2.6000000000000005, 2.7000000000000006, 2.8000000000000007, 2.900000000000001, 3.000000000000001, 3.100000000000001, 3.200000000000001, 3.300000000000001, 3.4000000000000012, 3.5000000000000013, 3.6000000000000014, 3.7000000000000015, 3.8000000000000016, 3.9000000000000017]","[0.45742725294599046, 0.4386233021954329, 0.20664819862216613, 0.19093183488544083, 0.1753406556797663, 0.15990162314082032, 0.1489392105635948, 0.14137279572442904, 0.13408995290129247, 0.12717101071448228, 0.12072123984593397, 0.11487596085675662, 0.10980348932376711, 0.10570592437174668, 0.10281916776592359, 0.10141403150636581, 0.10182159689161359, 0.10443602938852072, 0.1096108457870499, 0.11739105770485353]",0.10
E31,180.87228393554688,0.83,"[6.0, 6.0, 7.0, 6.0, 0.0, 0.0, 0.0, 0.0, 6.0, 6.0, 0.0, 4.0, 4.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 6.0, 6.0, 7.0]",2.60,"[2.0, 2.1, 2.2, 2.3000000000000003, 2.4000000000000004, 2.5000000000000004, 2.6000000000000005, 2.7000000000000006, 2.8000000000000007, 2.900000000000001, 3.000000000000001, 3.100000000000001, 3.200000000000001, 3.300000000000001, 3.4000000000000012, 3.5000000000000013, 3.6000000000000014, 3.7000000000000015, 3.8000000000000016, 3.9000000000000017]","[0.23872431184807116, 0.22873171560944736, 0.22003692589105897, 0.21311215927502278, 0.20849516415128191, 0.206364601356866, 0.20632717054303726, 0.20777621095299562, 0.2102409449381976, 0.21343881992165492, 0.2172142619541969, 0.22150157877725776, 0.2262942094645111, 0.23162898653955752, 0.23756199424671468, 0.24423411884880583, 0.2518137011710198, 0.2604988333272448, 0.2704820052373833, 0.28188682756983624]",0.21
